Corps,Catégorie
"Email d'origine : Résiliation contrat 945 992.msg

bonjour je vous informe par presente que je souhaite resilier mon contrat n° pour le rue du achenheim dont je ne suis plus locataire et dont je n'ai plus les cles ni l'acces l'interlocuteur que j'ai eu au telephone ce matin a refuse d'executer cette resiliation de plein droit en invoquant une obligation du reseau qui ne m'incombe pas je vous demande donc de resilier immediatement le contrat en question le releve d'index porte a l'etat des lieux etabli avec presence d'un huissier est etant en litige juridique avec le proprietaire des lieux je n'ai aucune possibilite d'acceder aux compteurs donc inutile de me proposer un rendezvous sur place je n'y habite plus et je n'y ai plus acces je vous informe par ailleurs qu'en raison du comportement et du discours de personne que j'ai eue au telephone a l'instant qui m'a indique que je n'avais qu'a vous appeler avant le demenagement sans me proposer de solution alternative maintenant que j'ai demenage et qu'il est soitdisant trop tard je revoque immediatement le mandat de prelevement associe et toute future facture sera reglee en ligne par carte bleue ou virement il va sans dire que mensualisation prend fin a compter de ce jour et que j'attends de votre part une facture finale de regularisation en tenant compte du releve effectue lors de l'etat des lieux et indique cidessus merci par avance cordialement ",0
"Email d'origine : Contrat N°1039915 - Modification nouvelle échéancier.msg

bonjour ci joint a ce mail ma regularisation du et le tableau de mensualites je souhaite effectuer une modification sur le montant sur nos prochains prelevements a compter du merci de bien vouloir augmenter valeur de mensualite a ttc au lieu de  ttc calculee par vos soins restant a votre disposition pour tous renseignements complementaires je vous souhaite une bonne cordialement ",4
"Email d'origine : Fwd  AW  Votre demande.msg

bonjour nous sommes desole que nous avons fait une faute avec notre virement hier nous avons envoye le tip pour notre addition a cordialement meinem ipad gesendet anfang der weitergeleiteten e?mail mailto datum juni um mesz an accueil mailto kopie mailto mailto betreff aw votre demande bonjour m merci beaucoup pour votre feed nous attendons votre clarification et confirmation lencaissement bonweek cordialement accueil mailto gesendet donnerstag juni an betreff votre demande bonjour monsieur nous faisons suite a votre demande nous vous informons que nous effectuons les recherches concernant votre reglement nous reviendrons vers vous afin vous tenir informe nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas necessite vous contribuerez a preservation l'environnement energies sa rue du marais vert cedex rcs b email mailto mailto envoye lundi juin a accueil mailto objet wg votre demande bonjour hier jai controle notre compte en linge jai regarde que notre paiement est ne reserver pas vous avez possibilite a controler le processus mon est ne pas bien japprends pour telephoner a vous pouvez donner un contact parler allemande ou anglaise sil vous merci beaucoup bien cordialement serial buyer fis europe  m mailto faureciastr   gesellschaft beschrankter haftung der gesellschaft registergericht landau in der pfalz hr b geschaftsfuhrer dr faureciainspiringmobilitylogorvb mailto gesendet juni an betreff fwd votre demande meinem ipad gesendet anfang der weitergeleiteten e?mail accueil mailto datum juni um mesz an mailto mailto betreff votre demande bonjour monsieur nous faisons suite a votre demande nous avons ete attentifs a son contenu cependant cette situation necessitant des recherches complementaires nous ne manquerons pas revenir vers vous dans les meilleurs delais afin vous apporter nos elements reponse bien cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas necessite vous contribuerez a preservation l'environnement energies sa rue du marais vert cedex rcs b email mailto mailto mailto envoye jeudi juin a accueil mailto objet notre contrat n° facture n° s notre chantier m thomas rue allmend niederlauterbach madame monsieur nous recu un avis d'impaye du juin cijoint vous trouvez confirmation pour notre paiement par virement pouvezvous controler documentation s'il vous pour notre paiement prochaine vous pouvez donner l'indication exactement quel informations sont necessaire je reste a votre disposition pour tout renseignement completement bien cordialement thomas ? electronic transmission and any attachments thereto is intended solely for use of addressees it contain confidential or legally privileged information if are intended recipient of message must delete it immediately and notify any unauthorized use or disclosure of message is strictly prohibited does guarantee integrity of transmission and shall therefore never be liable if message is altered or falsified nor for any virus interception or damage to your system electronic transmission and any attachments thereto is intended solely for use of addressees it contain confidential or legally privileged information if are intended recipient of message must delete it immediately and notify any unauthorized use or disclosure of message is strictly prohibited does guarantee integrity of transmission and shall therefore never be liable if message is altered or falsified nor for any virus interception or damage to your system ",4
"Email d'origine : RE  Votre demande (25).msg

il etait convenu dun prelevement le de chaque mois je ne suis pas responsable de cette situation car telephoniquement quand je vous ai demande lechelonnement vous avez bien debite sur le compte axa echelonnez les paiements en augmentant les mensualites car je ne vois pas comment je pourrais payer plusieurs mensualites par mois je tiens dailleurs a vous rappeler que depuis que jhabite ici je nai eu que des problemes avec vos services jespere qua lavenir les choses vont sarranger sinon je changerais de fournisseur car point de vue tarif il y a mieux provenance courrierhttps go microsoft fwlink linkid pour windows de accueilmailto envoye le lundi juillet a mailto objet votre demande bonjour madame nous faisons suite a votre demande nous vous informons que vos coordonnees bancaires ont bien ete prises en compte suite a votre modification effectuee depuis votre espace client le juillet elles seront prises en compte des votre prochaine echeance a savoir le juillet par ailleurs nous vous informons que dans mesure ou les deux precedentes mensualites n'ont pas pu etre prelevees cellesci restent dues nous vous proposons de nous preciser par retour de mail date a laquelle nous pouvons proceder au prelevement de chacune d'entre elles nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye jeudi juillet a accueil objet contact internet provenance courrierhttps go microsoft fwlink linkid pour windows je suppose que vous vous moquez de moi sur votre site figure mes nouvelles coordonnees bancaires mais que dapres une de vos employe vous ne pouvez pas prelever car je suis sois disant encore sous curatelle ce qui nest plus le cas depuis mois par contre les prelevements sont de euros donc cest de euros que je veux etre prelevee et non de je ne suis pas responsable de vos erreurs et du fait quil y a impaye car vous navez rien trouve de mieux que de prelever sur mon ancien compte et les prelevements sont prevus le et non le ",2
"Email d'origine : Formulaire de contact   Divers (130).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message bonjour mon compte en banque affiche que j'ai ete preleve fois du montant pour une seule facture c'est probablement une erreur et j'aimerai pouvoir etre rembourse energies social rue du marais vert cedex ",4
"Email d'origine : Formulaire de contact   Divers (2).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message bonjour je reprend le compte et les factures du contrat a rue du beinheim quelle est a effectuer pour pouvoir creer l'espace personnel et payer en ligne par avance merci cordialement energies social rue du marais vert cedex ",5
"Email d'origine : Résiliation compteur électricité.msg

resiliation compteur electricite de adtesse rue des couples a date de resiliation juillet releve compteur au juillet bien a vous ",0
"Email d'origine : RE  Votre demande (43).msg

bonjour pourriez vous me contacter afin de ce probleme cordialement directeur du pole des sports de l'education musicale et de qualite de communes de marmoutier sommerau rue du centre nautique courriel mailto tel fax p avant d'imprimer pensez developpement durable merci d'avance afaq de mailto envoye mercredi juin a objet votre demande bonjour monsieur nous faisons suite a votre demande nous vous informons que deux contrats sont souscrits a votre nom correspondant au deux adresses suivantes rue baldung grien a weyersheim rue des fosses a weyersheim en creant votre espace client vous retrouverez l'ensemble de vos contrats nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto mailto envoye mardi juin a mailto 'isabelle ' mailto objet re votre compte internet bonjour je ne souhaite pas creer un compte pour le rue des fosses mais pour le rue baldung grien a weyersheim le titulaire du rue des fosses est isabelle cordialement directeur du pole des sports de l'education musicale et de qualite de communes de marmoutier sommerau rue du centre nautique courriel mailto tel fax p avant d'imprimer pensez developpement durable merci d'avance afaq de mailto envoye mardi juin a mailto objet votre compte internet bonjour nous vous confirmons prise en compte de votre demande de creation de votre compte internet pour finaliser creation de votre compte merci de cliquer sur le lien suivant pour saisir vos donnees personnelles icihttps www interactive electricite netaelfrcreercybercomptecreercybercompteprocess codeactionappelcollectepreremplitypeuseruememail referenceidsdam bien cordialement votre conseiller ce courrier electronique vous est envoye par l'espass personnel energies suite a votre demande de creation de compte internet merci de ne pas repondre a ce courrier ",5
"Email d'origine : Fw  Facture électronique.msg

bonjour puisje souscrire a facture electronique et mes facturer par cheque ou suisje alors obligee d'accepter le prelevement automatique sur mon compte bancaire merci d'avance dans l'attente de votre reponse cordialement from votre conseiller to sent thursday pm subject souscrivez gratuitement a facture electronique si ce message ne saffiche pas correctement consultez version en lignehttp trkcbcecb sfccbcecbc bannierehttp trkcbcecb votre contrat n° au rue de copenhague madame de plus en plus de nos clients optent pour facture electronique et vous que souhaitezvous je choisis facture electroniquehttp trkcbcecb icone mobile http trkcbcecb je conserve facture papierhttp trkcbcecb utmmediumemailutmcampaignfeutmsourcedolistkeyidmadame icone papier http trkcbcecb nous vous remercions de votre reponse votre conseiller en savoir plus sur le fonctionnement de facture electronique chevron a chaque nouvelle facture vous avertie par courriel de son montant et sa date de prelevement chevron dans votre espace client vous accedez a vos factures h pendant ans chevron vous pouvez telecharger et imprimer gratuitement un justificatif de contrat d'electricite l'energie est notre avenir economisons energies s a  capital de  social rue du marais vert cedex rcs ce message est strictement confidentiel son integrite n'est pas assuree sur internet si vous n' pas destinataire du message merci de le detruire et de nous avertir immediatement a ladresse mailto ce message vous a ete envoye par un automate merci de ne pas y repondre pour toute correspondance avec votre conseiller connectezvous a votre espace client conformement a loi informatique et libertes n° du janvier modifiee vous beneficiez d'un droit d'acces et de rectification aux informations vous concernant que vous pouvez exercer en adressant un courrier a energies s a rue du marais vert cedex ou un courrier electronique a l'adresse suivante mailto n'imprimez ce message que si vous en avez l'utilite choisir les messages que je souhaite recevoirhttp trkcbcecb scffcfcbcecb pour ne plus recevoir nos messages cliquez icihttp trkcbcecb scffcfcbcecb © energies tous droits reserves ",4
"Email d'origine : Formulaire de contact   Divers (91).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message bonjour pouvezvous m'indiquer a quelle adresse mail envoyer mon rib afin de finaliser ma demande d'ouverture de contrat gaz merci d'avance cordialement energies social rue du marais vert cedex ",3
"Email d'origine : Formulaire de contact   Renseignement (4).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet renseignement adresse electronique message suis rendu compte que je paies encore les factures d'electricite de mon ex mari les montants sortent de mon compte bancaire comment je peux arreter ces prelevements il s'agit de alain il habitait rue koenigsmann il vient de amenager au rue courbee kilstett je n'ai pas de factures et je ne lui parles plus comment je peux arreter les prelevents de mon compte energies social rue du marais vert cedex ",4
"Email d'origine : RE  Votre demande (46).msg

mon eau chaude est produit avec mon chauffage gaz donc il nai plus interessant de le conserver selon vous leconomie nai plus realiser avec le du prix hc et son abonnement de accueilmailto envoye le mercredi juin a mailto objet votre demande bonjour monsieur nous faisons suite a votre demande nous vous informons que le tarif heures creuses a ete mis en place par rapport au mode de production de votre eau chaude avec un ballon d'eau chaude electrique nous vous preconisons de conserver cet abonnement pour plus de renseignements nous vous invitons a prendre contact avec nos services au nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto reference client commentaires du client bonjour on nous dits que vous pour nous conseiller au mieux dans le choix de l'electricite j'ai change mon chauffage de pompe a chaleur en chauffage gaz et je voulais savoir si selon votre professionnalisme et que vous pouvez voir l'historique de ma consommation me dire si je dois arreter le compteur journuit car il ne serait plus rentable dans mon cas ",1
"Email d'origine : Justificatif de contrat ES.msg

bonjour le courant a ete retabli ce matin dans ma maison de lingolsheim contrat ref adresse rue thermo mais le dossier est toujours en cours de souscription sur mon espace internet pourriezvous le faire evoluer afin que je puisse rapidement editer un justificatif de contrat bien cordialement ph ",2
"Email d'origine : KLAEYLE C- relevé de compteurs 4 RUE D ELA MARTRE 67205 oBERHAUSBERGEN.msg

madame monsieur merci de bien vouloir trouver le formulaire pour arreter le compteur au nom de mr au rue de martre merci de me tenir informee du traitement de reguilarisation ma nouvelle adresse est rue de ferme wiwersheim tel ",1
"Email d'origine : Formulaire de contact   Divers (66).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message bonjour je souhaitais consulter mes consommations dans mon espace personnel mais oups je ne sais plus quel est mon identifiant et si je suis inscrit avec mon adresse mail ou celle de mon epouse cicontre mon n° contrat pouvezvous m'aider avec mes remerciements cordialement energies social rue du marais vert cedex ",5
"Email d'origine : Formulaire de contact   Divers (141).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message bonjour je quitte mon appartement et j'ai remplis le formulaire avec personne qui reprend le contrat a quelle adresse mail fautil l'envoyer merci cordialement energies social rue du marais vert cedex ",3
"Email d'origine : Re  Votre compte internet (27).msg

bonjour finalement j'aimerais suspendre mon contrat et reflechir un peu est ce possible cordialement jholder le lundi juillet mailto a ecrit bonjour nous vous confirmons prise en compte de votre demande de creation de votre compte internet pour finaliser creation de votre compte merci de cliquer sur le lien suivant pour saisir vos donnees personnelles icihttps www interactive electricite netaelfrcreercybercomptecreercybercompteprocess codeactionappelcollectepreremplitypeuseruememail referenceid bien cordialement votre conseiller ce courrier electronique vous est envoye par l'espass personnel energies suite a votre demande de creation de compte internet merci de ne pas repondre a ce courrier ",0
"Email d'origine : résiliation contrat d'électricité réf  380704 Luc Dupong 12  rue de l'Argonne.msg

bonjour par le je vous prie de bien vouloir resilier le contrat delectricite de mon fils avec effet immediat en effet mon fils a termine ses etudes et le contrat de bail de son studio a ete resilie au juin malheureusement on ne dispose pas de lecture du compteur au juin pour le final le nouveau utilisateur entrant du studio sera sara el veuillez trouver en attachement une copie de derniere facture delectricite pour info bav chef de section support expedition tel mailto technologies rue l www http www postgroup ",0
"Email d'origine : Formulaire de contact   Divers (133).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message bonjour suite a une erreur que j'ai faite dans mon mail precedent je vous recontacte en modifiant mon numero compteur mon adresse rue jean et mon numero compteur mes sinceres salutations energies social rue du marais vert cedex ",2
"Email d'origine : Re  Votre demande (3).msg

bonsoir nous avions fait une demande de mensualisation de  par mois dans l'espace consulter contrat notre demande de mensualisation est en attente de coordonnees bancaires pouvez vous nous donnez marche a suivre pour mettre en place mensualisation bien cordialement mr reference contrat le mars a mailto a ecrit reponse de de l'electricite peut etre opte pour mensualisation a voir le mars am accueil mailto a ecrit bonjour madame nous avons bien recu votre demande d'explication de vos factures votre compteur est releve deux fois par an en avril et octobre nous vous faisons parvenir une facture tous les mois soit factures par an factures sont calculees sur base d'index estimes et deux font suite a releve de votre compteur nos estimations peuvent etre superieures ou inferieures a vos consommations les factures reelles permettent de regulariser ces estimations en cas de trop percu nous etablissons un en votre faveur en cas de depassement nous vous envoyons une facture pour le reglement de difference pour eviter ces factures estimees nous vous proposons mensualisation ce service vous permet de simplifier gestion de votre contrat et de ne recevoir qu'une seule facture par an chaque mois vous preleve de somme a une date fixe que vous choisissez pour mettre en place mensualisation nous vous invitons a vous connecter a votre espass personnelhttps espaceclient dans rubrique gerer mes contrats clic sur reference du contrat concerne mes services en ligne mensualiser mes paiements nous vous invitons egalement a consulter une video accessible depuis le site http energies electriciteservicesenligneespasspersonnel pour decouvrir toutes les fonctionnalites disponibles ",4
"Email d'origine : Formulaire de contact   Divers (135).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message bonjour merci de mindiquer procedure pour changement dadresse et de rib energies social rue du marais vert cedex ",0
"Email d'origine : Formulaire de contact   Divers (50).msg

email envoye automatiquement suite a une demande sur le site energies madame telephone objet divers adresse electronique message contrat je viens de faire mon estimation sur internet concernant facture d'electricite elle s'eleve a euros je souhaitais savoir quel est le montant que je devrais payer en plus par rapport a facture precedente et quelles seront mes mensualites futures je vous en remercie d'avance energies social rue du marais vert cedex ",4
"Email d'origine : Formulaire de contact   Divers (128).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message bonjour je n'arrive pas a me loguer sur mon espace personnel avec mon de passe j'ai donc demande un nouveau de passe que j'ai receptionne par mail il ne marche pas non plus et maintenant mon compte est bloque pour heures pouvezvous me debloquer merci d'avance energies social rue du marais vert cedex ",5
"Email d'origine : Résiliation contrat ES Electricité au nom de Benoit HABERSETZER et rattachement du compteur au nom du propriétaire Mr  KLEIN René résidant 8 rue du ménage.msg

 rue de l'hippodrome reference du contrat https www interactive electricite netconnectacteur zoomerdossierclientael go rqidactdemarrer# bonjour pour des raisons professionnelles je demenage et quitte l'alsace par consequent je vous demande de mettre fin a mon contrat en date du juillet par occasion je vous prie de bien vouloir rattacher sans delais les proprietaires monsieur et madame residant au rue du manege au compteur de ce logement valeur du compteur au juillet est de kwh merci de me faire parvenir les prochains courriers a l'adresse suivante monsieur ? rue ? chapelle sur erdre merci d'avance cordialement mailto ",0
"Email d'origine : justificatif de domicile     références 536423 et 206893.msg

madame monsieur j'aurais besoin d'un justificatif de domicile au rue de datant de de trois mois pour le faire suivre a cite administrative pour renouveler mon forfait residant ma facture d' etant annuelle et les prelevements se faisant directement sur mon compte bancaire sans facture intermediaire je voudrais savoir si vous pourriez m'adresser une facture datee de juin pour transmettre cette piece a cite administrative merci par avance salutations ",4
"Email d'origine : Information .msg

bonjour je souhaite ma facture en ligne et je souhaite savoir si je pouvais faire cette manipulation en ligne car l'electricite a ete coupee ce matin je n'arrive pas a le faire depuis mon espace client cordialement rue de mulhouse",5
"Email d'origine : Formulaire de contact   Divers (49).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message tiens a payer a par contrat de courte duree consommation entre ancien lacataire et le nouveau debutant le aout ref studio rue de lamproie energies social rue du marais vert cedex ",4
"Email d'origine : Re  votre demande d 21 06 2017.msg

bonjour je suis toujours dans l'attente de facture modifiee cordialement le juin a accueil mailto a ecrit bonjour monsieur nous avons pris bonne note de votre releve de compteur et l'avons enregistre afin de recalculer votre facture du a l'avenir pour plus de simplicite nous vous suggerons d'effectuer cette operation directement depuis votre espass personnel voici a suivre connectezvous a votre espass personnelhttps espaceclient puis choisissez gerer mes contrats cliquez sur votre reference de contrat mes services en ligne saisir ma releve nous pourrons ainsi estimer au mieux votre prochaine facture par ailleurs et pour vous simplifier gestion de votre contrat nous vous recommandons mensualisation avec mensualisation vous preleve de somme chaque mois a une date fixe que vous choisissez le montant de votre mensualite est determine selon vos equipements composition de votre foyer et vos habitudes de consommation afin d'en beneficier nous vous invitons a vous rendre dans votre espass personnelhttps espaceclient dans rubrique mes services en ligne mensualiser mes paiements entre nous nous vous recommandons de souscrire a facture electronique pour vous simplifier consultation de votre echeancier et l'archivage de vos factures dont vous pouvez a tout moment nous demander une copie gratuitement nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto mailto envoye mercredi juin a accueil mailto objet demande de modification de facture bonjour je viens d'effectuer un releve afin d'obtenir une facture realiste en adequation avec mes consommations contrat le releve est pour le hc et pour les hp merci par avance cordialement ",4
"Email d'origine : Formulaire envoyé via votre Assistant (4).msg

bonjour voici un formulaire envoye par un utilisateur de votre assistant nom email commentaire bonjour je suis le proprietaire d'un appartement place du corbeau mon locataire t gongiusta a quitte le logement fin juin il faut donc arreter son contrat compteur hp hc nouveau locataire au er aout a definir mais je souhaite conserver l'electricite en juillet pour nettoyage et autre comment faire merci d'avance pour vos elements de reponse cordialement page web http energies ref s http www livingactor assistanteditor~enginezwfm mozilla windows nt wow rv gecko firefox si cet email ne vous est pas destine merci de nous contacter a l'adresse ",0
"Email d'origine : Résiliation contrat électricité 1170980 .msg

reference contrat offre offre a prix fixe ans bonjour je vous contacte car je souhaiterais resilier mon contrat d'electricite suite a mon depart de mon logement situe a rue j'ai signe fin de mon bail le er juillet et le compteur affichait merci de bien prendre en compte demande ainsi que me dire a suivre vous pouvez envoyer facture pour solde au rue manicor richwiller merci bien cordialement ",0
"Email d'origine : Formulaire de contact   Divers (53).msg

email envoye automatiquement suite a une demande sur le site energies monsieur telephone objet divers adresse electronique message transformation du tableau compteur au rue du et unification des deux contrat a mon non en un seul contrat je viens de faire modifier mon tableau compteur il y avait compteurs au nom de mon et les deux autres a mon nom mes deux compteurs contrats ne devaient plus n'en faire qu'un seul deux mono uni en tri ce matin un de vos technitien etaitr chez moi pour effectuer cette transformation malheureusement il n'avait d'ordre que de changer le mien et de plus en mono alors qu'il me faudrais un tri comme surement dit l'entreprise de berstheim le monteur n'avait aucun ordre pour le changement de celui a mon de plus une equipe aurait du venir aujourd'hui pour le changement de boite d'entree au grenier du courant electrique dont ligne est aerienne l'ancien etait metalique quel est suite a tous cela que va t il se passe maintenant l'entreprise vous a t elle contacter merci pour vos lumieres cordialement energies social rue du marais vert cedex ",3
"Email d'origine : Résiliation contrat (4).msg

bonjour je demenage le premier juillet et souhaiterais donc resilier mon contrat reference comment puisje proceder en vous remerciant cordialement ",0
"Email d'origine : RE  Votre demande (62).msg

bonjour vous n'avez pas du recevoir mon mail ci dessous les infos demandees merci de me confirmer si vous avez bien recu ce mail releve du compteur kw date de naissance coordonnees bancaires credit mutuel rib banque guichet nr compte cle iban fr bic cmcifra date de prise deffet cordialement a rue de sessenheim stattmatten de accueil envoye jeudi juin a objet votre demande bonjour madame nous faisons suite a votre demande et vous confirmons qu'a ce jour nous sommes toujours dans l'attente des informations demandees cidessous le releve du compteur votre date de naissance vos coordonnees bancaires afin de mettre en place le prelevement de vos factures nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye mardi juin a accueil objet re transcription de contrat bonjour je reviens vers vous pour savoir si vous avez bien recu mon mail avec mes informations afin de pouvoir faire transcription de contrat au er juillet cordialement provenance courrierhttps go microsoft fwlink linkid pour windows de accueilmailto envoye le mardi juin a mailto objet re transcription de contrat bonjour madame nous avons bien pris connaissance de votre demande de souscription de contrat au a rue de sessenheim stattmatten afin d'etablir votre contrat de fourniture nous avons besoin d'informations complementaires que nous vous demandons de nous fournir par retour de mail le releve du compteur votre date de naissance vos coordonnees bancaires afin de mettre en place le prelevement de vos factures votre reference client sera le par ailleurs vous souhaitez que le contrat prenne effet au vous pouvez des a nous transmettre les elements demandes en precisant cette date d'effet creation d'un nouveau contrat est une prestation reglementaire facturee a  ce montant sera inclus dans facture de souscription qui sera envoyee par voie postale celleci comprendra egalement deux mois d'abonnement nous vous suggerons de veiller a faire figurer votre nom sur votre boite aux lettres pour le bon acheminement de nos courriers des reception de ces informations le nouveau contrat de fourniture pourra etre mis en place pour vous simplifier gestion de votre contrat nous vous recommandons mensualisation avec mensualisation vous preleve de somme chaque mois a une date fixe que vous choisissez le montant de votre mensualite est determine selon vos equipements composition de votre foyer et vos habitudes de consommation vous pouvez adapter votre mensualite en fonction des modifications de vos habitudes de consommation pour cela vous pouvez vous rendre sur votre espass personnel une fois votre contrat actif nous vous invitons a consulter une video accessible depuis le site http energies electriciteservicesenligneespasspersonnel pour decouvrir toutes les fonctionnalites disponibles nous restons a votre disposition pour tous renseignements complementaires bien cordialement guete votre conseiller de mailto envoye vendredi juin a accueil mailto objet transcription de contrat bonjour suite a une separation je vais reprendre le contrat d'electricite de mon conjoint qui va quitter le logement adresse a rue de sessenheim stattmatten log nr du contrat de mon conjoint patrice ref technique rtpl e tarif bleu nr du compteur j'ai rempli le formulaire de demande de transcription il est demande de faire le releve des compteurs je souhaite reprendre le contrat au er juillet est ce que je peux deja vous transmettre le demande avec l'etat des compteurs a ce jour ou dois je attendre si oui a quelle date dois je vous envoyer demande pour qu'elle soit effective au er juillet d'avance merci pour votre aide cordialement a rue de sessenheim stattmatten ",3
"Email d'origine : re  Votre compte internet (7).msg

bonjour acces a creation du impossible cordialement message du de a copie a objet votre compte internet bonjour nous vous confirmons prise en compte de votre demande de creation de votre compte internet pour finaliser creation de votre compte merci de cliquer sur le lien suivant pour saisir vos donnees personnelles icihttps www interactive electricite netaelfrcreercybercomptecreercybercompteprocess codeactionappelcollectepreremplitypeuseruememail referenceid bien cordialement votre conseiller ce courrier electronique vous est envoye par l'espass personnel energies suite a votre demande de creation de compte internet merci de ne pas repondre a ce courrier ",5
"Email d'origine : RE  Votre demande (27).msg

bonjour je vous remercie pour ce retour estil toutefois possible de demarrer les prelevements des ce mois afin deviter davoir un rappel trop important avec facture annuelle cordialement de accueil mailto envoye mardi juillet a objet re votre demande bonjour madame nous vous confirmons resiliation de votre contrat au rue du schlossgarten a geispolsheim nous avons bien recu votre demande de mensualisation pour le logement rue des jardiniers a et vous confirmons mise en place d'un prelevement mensuel de euros ce service vous simplifiera gestion de votre contrat sans information contraire de votre part les prelevements debuteront a partir du septembre votre echeancier de mensualisation vous parviendra par voie postale votre facture annuelle vous parviendra en mars celleci comprendra l'ensemble de vos consommations l'abonnement et les taxes pour l'ensemble de periode tous les montants preleves durant celleci viendront en deduction du montant facture vous pouvez adapter votre mensualite en fonction des modifications de vos habitudes de consommation pour cela vous pouvez vous rendre sur votre espass personnel nous vous invitons a consulter une video accessible depuis le site http energies electriciteservicesenligneespasspersonnel pour decouvrir toutes les fonctionnalites disponibles entre nous nous vous recommandons de souscrire a facture electronique pour egalement vous simplifier consultation de votre echeancier et l'archivage de vos factures dont vous pouvez a tout moment nous demander une copie gratuitement pour comprendre votre facture en un clic et mieux gerer votre contrat nous vous invitons vous rendre sur notre site factures http factures fpnhtmllistefactures html nous restons a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye jeudi juillet a accueil mailto objet re votre demande bonjour le releve du compteur de geispolsheim ref e est de kw selon releve dhier avec lagence pour ma nouvelle adresse je vous remercie de bien vouloir conserver le montant des prelevements mensuels du fait que surface et les appareils menagers restent identiques bien cordialement de accueil mailto envoye jeudi juillet a objet votre demande bonjour madame nous faisons suite a votre demande et vous confirmons prise en compte du releve de compteur pour souscription de votre contrat au rue des jardiniers a nous prenons note que vous nous recontacterez des que vous serez en possession du releve du compteur pour le logement situe au av du schlossgarten a geispolsheim nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye mardi juillet a accueil mailto objet re resiliation de contrat bonjour il sagit du compteur du nouvel appartement au rue des jardiniers a je procede au releve du compteur de lappartement a geispolsheim demain apresmidi avec lagence et ne manquerai pas de vous communiquer les informations bien cordialement de accueil mailto envoye mardi juillet a objet resiliation de contrat bonjour madame nous avons bien recu le releve de compteur que vous nous avez transmis toutefois celuici semble incoherent par rapport a notre releve precedent superieur a votre historique de consommation c'est pourquoi nous souhaitons le verifier avec vous nous vous remercions de bien vouloir vous assurer de cet index et nous vous suggerons pour plus de simplicite de nous le transmettre par retour de courriel nous restons bien entendu a votre disposition pour tous renseignements complementaires cordialement guete votre conseiller si vous n'imprimez ce mail qu'en cas de necessite vous contribuerez a preservation de l'environnement energies sa rue du marais vert cedex rcs b email mailto de mailto envoye vendredi juin a accueil mailto objet re information demenagement madame monsieur par le mail je vous informe de mon demenagement contrat n° ref technique e avenue du schlossgarten  bat a geispolsheim je quitterai lappartement le pour emmenager au rue des jardiniers  a date ref technique e bien cordialement l'absence de virus dans ce courrier electronique a ete verifiee par le logiciel antivirus avast https www avast antivirus https ipmcdn avast imagesiconsiconenvelopetickroundorangeanimated repeatv gifhttps www avast email utmmediumemailutmsource utmcampaign emailutmcontentemailclient garanti sans virus www avast https www avast email utmmediumemailutmsource utmcampaign emailutmcontentemailclient",4
